fullname,full_address,gpt-response
Key Laboratory of OptoElectronic Science and Technology for Medicine of Ministry of Education,"Fuzhou, 350007, Fujian, China",Fuzhou University
"Key Laboratory of Animal Genetics and Breeding, State Ethnic Affairs Commission and Ministry of Education","Chengdu, Sichuan, 610041, China",Unknown
"Key Lab of Biomedical Materials of Natural Macromolecules, Ministry of Education","Beijing, 100029, China",Unknown
"Key Laboratory of Plant Resources Conservation and Germplasm Innovation in Mountainous Region, Ministry of Education, Institute of Agro-Bioengineering",China,Unknown
"College of Otolaryngology Head and Neck Surgery, National Clinical Research Center for Otolaryngologic Diseases, State Key Lab of Hearing Science, Ministry of Education, Beijing Key Lab of Hearing Impairment Prevention and Treatment, Chinese PLA General Hospital, Chinese PLA Medical School","Beijing, China",Chinese PLA Medical School
Key Lab. of Ministry of Education on Chemical Science and Technology of Light Chemical Additives,"Xi'an 710021, China",Unknown
"State Key Laboratory of High-Efficient Mining and Safety of Metal Mines of Ministry of Education, Univ. of Science and Technology Beijing","Beijing 100083, China",University of Science and Technology Beijing
Mobile Health Ministry of Education-China Mobile Joint Laboratory Changsha,"Hunan, 410083, China",Hunan University
"Department of Mathematics, Key Laboratory of Symbolic Computation and Knowledge Engineering, the Ministry of Education","Changchun, 130012, China",Jilin University
Key Laboratory of Beam Technology and Material Modification Ministry of Education,"Beijing, 100875, China",Tsinghua University
Key Laboratory of Ministry of Education on Metal Mine Exploration and Safety,"Beijing, China",Central South University
"Department of Chemistry, Key Laboratory of Cluster Science of Ministry of Education, Beijing Institute of Technology","Beijing 100081, China",Beijing Institute of Technology
Key Laboratory of New Technology for Construction of Cities in Mountain Area of China Ministry of Education,"Chongqing, 400045, China",Chongqing University
"Department of Neurobiology and Neurology, Xuanwu Hospital, Ministry of Education","Beijing 100053, 45 Changchun Street, China",Capital Medical University
"Key Lab. of Industrial Biotechnology, Ministry of Education, S. Yangtze Univ., 170 Huihe Rd., W.",China,Yangtze University
"Key Laboratory of Green Chemical Process of Ministry of Education, Wuhan Institute of Technology, School of Chemical Engineering and Pharmacy, Hubei Key Laboratory of Novel Reactor and Green Chemical Technology","Wuhan, 430205, China",Wuhan Institute of Technology
Key Laboratory of Ministry of Education for Industrial Biotechnology,"Wuxi 214122, Jiangsu, China",Jiangnan University
"Key Laboratory of Process Optimization AndIntelligent Decision-Making, Ministry of Education","Hefei, China",Unknown
"Key Laboratory of Knowledge Engineering with Big Data, Hefei Univ. of Technology, Ministry of Education","Hefei, China",Hefei University of Technology
"Key Lab. of Aerosp. Info. Secty. and Trusted Comp., Min. of Educ.",China,Unknown
"School of Pharmacy, Engineering Research Center for the Development and Application of Ethnic Medicines and Traditional Chinese Medicine, Ministry of Education","Guiyang, 550004, China",Guizhou Medical University
"Key Laboratory of Textile Science and Technology, Ministry of Education, Donghua Univerisity","Shanghai, 201620, China",Donghua University
"Laboratory of New Technology for Construction of Cities in Mountain Area, Ministry of Education","Chongqing, 400045, China",Chongqing University
"Engineering Research Center of Rock-Soil Drilling & Excavation and Protection, Ministry of Education","Wuhan, Hubei, China",China University of Geosciences
"Engineering Research Center of GIS Technology in Western China, Ministry of Education of China","Kunming, 650500, China",Kunming University of Science and Technology
"Ministry of Education Key Laboratory of Child Development and Disorders, Key Laboratory of Pediatrics in Chongqing, Chongqing International Science and Technology Cooperation Centre for Child Development and Disorders","Chongqing, China",Chongqing Medical University
"Research Center for Neuroscience, Environment and Genes Related to Diseases Key Laboratory of Education Ministry","Xian, 710061, China",Unknown
"Key Laboratory of Bio-Resources and Eco-Environment of Ministry of Education, College of Life Sciences, Sichuan Univ.","Chengdu, CN-610065, China",Sichuan University
"Key Laboratory of Industrial Fermentation Microbiology, Ministry of Education and Tianjin","Tianjin, 300457, China",Tianjin University
Key Lab of Structural Engineering and Earthquake Resistance of the Ministry of Education (XAUAT),"Xi'an, 710055, China",Xi'an University of Architecture and Technology
"Institute of Pathology and Southwest Cancer Centre, Southwest Hospital, Ministry of Education of China","Chongqing 400038, China",Southwest Hospital
"Key Laboratory of Coastal Disaster and Defense (Hohai Univ.), Ministry of Education","Nanjing, 210098, China",Hohai University
"Key Laboratory for Green Chemical Technology, Ministry of Education Tianjin","Tianjin, 300072, China",Tianjin University
"Ministry of Education, National Agency for Education, Dept. of Social Welfare and Health",China,Unknown
Key Lab. of In-Situ Property-Improving Mining of Ministry of Education,"Taiyuan, Shanxi, China",Taiyuan University of Technology
"Key Laboratory of Pathobiology, Ministry of Education, Basic Medical School","Jilin, 130021, China",Jilin University
"Key Laboratory of Integrated Regulation and Resource Development on Shallow Lakes, Ministry of Education, College of Environmental","Nanjing, 210098, China",Nanjing University
Key Laboratory of Coal Science and Technology of Ministry of Education and Shanxi Province,"Taiyuan, Shanxi, China",Taiyuan University of Technology
"Engineering Rearch Center of Complex Product Advanced Manufacturing Systems, Ministry of Education","Beijing, China",Tsinghua University
"Ministry of Education Key Lab of Child Development and Disorders, Key Lab of Pediatrics in Chongqing, Children's Hospital of Chongqing Medical Univ, Center for Child Development,Clinical Disorders, China Chongqing International Science, Technology Cooperation Base","Chongqing, China",Chongqing Medical University
"Key Laboratory of Integrated Regulation and Resource Development on Shallow Lakes, Ministry of Education, Hohai Univetsity","Nanjing, 210098, China",Hohai University
"Key Laboratory of Biopesticide and Chemical Biology, Ministry of Education China","Fuzhou, 350002, China",Fuzhou University
"Key Laboratory of Nuclear Resources and Environment, Ministry of Education of China, East China Institute of Technology","Nanchang, 330013, China",East China Institute of Technology
"Key Laboratory of Nuclear Resources and Environment, Ministry of Education","Nanchang 330013, China",Nanchang University
Key Laboratory of Geomechanics and Embankment Engineering (Ministry of Education),"Nanjing, China",Hohai University
"Key Laboratory of Saline-alkali Vegetation Ecology Restoration, Ministry of Education","Harbin, 150040, Heilongjiang, China",Harbin Normal University
"Key Laboratory for Green Chemical Process of Ministry of Education, School of Chemical Engineering and Pharmacy, Hubei Key Laboratory of Novel Chemical Reactor and Green Chemical Technology, Wuhan Institute of Technology","Wuhan, 430073, China",Wuhan Institute of Technology
"Key Laboratory of Advanced Integrated Electronic System, Ministry of Education of China","Chengdu, China",Unknown
"Ministry of Education, Key Laboratory of Spatial Data Mining and Information Sharing","Fuzhou, 350108, China",Fuzhou University
Research Center for the Structures in Oil and Gas Bearing Basin of Ministry of Education,"Hangzhou, 310027, China",Zhejiang University
"Key Lab of Structural Dynamic Behavior and Control(Harbin Institute of Technology), Ministry of Education","Harbin, 150090, China",Harbin Institute of Technology
"Key Laboratory of Post-neurotrauma Neuro-repair and Regeneration in Central Nervous System, Tianjin Neurological Institute, Ministry of Education and Tianjin City","Tianjin, China",Tianjin Medical University
"Key Lab of Medical Engineering for Cardiovascular Disease, Ministry of Education",China,Unknown
"Dept. of Civil Engineering, Key Laboratory of Structural Engineering and Vibration of China Education Ministry, Tsinghua Univ.","Beijing, 100084, China",Tsinghua University
"Key Laboratory of Diagnostic Medicine Designated, Second Affiliated Hospital, Chinese Ministry of Education","Chongqing, China","Key Laboratory of Diagnostic Medicine Designated, Second Affiliated Hospital, Chinese Ministry of Education"
"Heavy Machinery Eng. Research Center of Ministry of Education, Taiyuan Univ. of Sci. and Technol.","Taiyuan, 030024, China",Taiyuan University of Science and Technology
"Image Processing and Intelligent Control Key Laboratory, Education Ministry of China","Wuhan, Hubei 430074, China",Huazhong University of Science and Technology
"Key Laboratory of Biopesticide and Chemical Biology, Ministry of Education","Fuzhou, 35002, China",Fuzhou University
"Key Laboratory of Western China's Environmental Systems, College of Earth and Environment Sciences, Ministry of Education","Lanzhou, China",Lanzhou University
"Key Laboratory of Drug-Targeting and Drug Delivery System, Education Ministry and Sichuan Province, Sichuan Eng. Lab. for Plant-Sourced Drug, Sichuan Res. Ctr. for Drug Prec. Indust. Technol., W. China Sch. of Pharm., Sichuan Univ.","Chengdu, 610041, China",Sichuan University
Key Laboratory of Autonomous Systems and Network Control of Ministry of Education,"Guangzhou, 510640, Guangdong, China",South China University of Technology
Ministry of Education Key Laboratory of Southwest China Wildlife Re-sources Conservation,"Nanchong 637002, Sichuan, China",China West Normal University
Engineering Research Center of Education Information Technology Ministry of Education,"430079, Wuhan, China",Unknown
"School of Physical Science and Engineering, Key Laboratory of Materials Physics, Ministry of Education of China","Zhengzhou, 450052, No. 75, North Daxue Road, China",Zhengzhou University
